Coin Name,Open,Close,High,Low,Symbol,Time,Date
Bitcoin,84033,83735,84033,83735,BTC,4/4/2025 23:30,4/4/2025
Bitcoin,83660,83852,83859,83648,BTC,4/5/2025 0:00,4/5/2025
Bitcoin,83828,83714,83828,83626,BTC,4/5/2025 0:30,4/5/2025
Bitcoin,83728,83681,83728,83490,BTC,4/5/2025 1:00,4/5/2025
Bitcoin,83785,84123,84123,83785,BTC,4/5/2025 1:30,4/5/2025
Bitcoin,84173,83932,84173,83928,BTC,4/5/2025 2:00,4/5/2025
Bitcoin,83959,83930,84000,83878,BTC,4/5/2025 2:30,4/5/2025
Bitcoin,83752,83919,84040,83752,BTC,4/5/2025 3:00,4/5/2025
Bitcoin,83945,83797,83945,83789,BTC,4/5/2025 3:30,4/5/2025
Bitcoin,83699,83617,83734,83617,BTC,4/5/2025 4:00,4/5/2025
Bitcoin,83754,83738,83781,83735,BTC,4/5/2025 4:30,4/5/2025
Bitcoin,83809,83645,83809,83645,BTC,4/5/2025 5:00,4/5/2025
Bitcoin,83659,83786,83786,83626,BTC,4/5/2025 5:30,4/5/2025
Bitcoin,83835,83680,83835,83680,BTC,4/5/2025 6:00,4/5/2025
Bitcoin,83674,83621,83674,83621,BTC,4/5/2025 6:30,4/5/2025
Bitcoin,83602,83414,83602,83349,BTC,4/5/2025 7:00,4/5/2025
Bitcoin,83456,83427,83456,83353,BTC,4/5/2025 7:30,4/5/2025
Bitcoin,83465,83467,83511,83408,BTC,4/5/2025 8:00,4/5/2025
Bitcoin,83492,83480,83592,83423,BTC,4/5/2025 8:30,4/5/2025
Bitcoin,83455,83515,83523,83455,BTC,4/5/2025 9:00,4/5/2025
Bitcoin,83508,83645,83718,83508,BTC,4/5/2025 9:30,4/5/2025
Bitcoin,83691,83788,83788,83676,BTC,4/5/2025 10:00,4/5/2025
Bitcoin,83854,83695,83854,83695,BTC,4/5/2025 10:30,4/5/2025
Bitcoin,83707,83634,83707,83584,BTC,4/5/2025 11:00,4/5/2025
Bitcoin,83642,83650,83650,83568,BTC,4/5/2025 11:30,4/5/2025
Bitcoin,83641,83455,83641,83444,BTC,4/5/2025 12:00,4/5/2025
Bitcoin,83422,83436,83504,83422,BTC,4/5/2025 12:30,4/5/2025
Bitcoin,83406,83223,83406,83132,BTC,4/5/2025 13:00,4/5/2025
Bitcoin,83241,82686,83282,82686,BTC,4/5/2025 13:30,4/5/2025
Bitcoin,82776,82612,82778,82498,BTC,4/5/2025 14:00,4/5/2025
Bitcoin,82718,82907,82907,82713,BTC,4/5/2025 14:30,4/5/2025
Bitcoin,82845,82997,82997,82797,BTC,4/5/2025 15:00,4/5/2025
Bitcoin,82908,82704,82908,82693,BTC,4/5/2025 15:30,4/5/2025
Bitcoin,82599,82545,82599,82395,BTC,4/5/2025 16:00,4/5/2025
Bitcoin,82624,82577,82718,82577,BTC,4/5/2025 16:30,4/5/2025
Bitcoin,82675,82637,82777,82637,BTC,4/5/2025 17:00,4/5/2025
Bitcoin,82734,82836,82836,82658,BTC,4/5/2025 17:30,4/5/2025
Bitcoin,82866,82859,82894,82852,BTC,4/5/2025 18:00,4/5/2025
Bitcoin,82820,82941,83040,82820,BTC,4/5/2025 18:30,4/5/2025
Bitcoin,82956,83033,83033,82903,BTC,4/5/2025 19:00,4/5/2025
Bitcoin,83065,83044,83108,83004,BTC,4/5/2025 19:30,4/5/2025
Bitcoin,83025,82766,83025,82733,BTC,4/5/2025 20:00,4/5/2025
Bitcoin,82843,82977,82985,82843,BTC,4/5/2025 20:30,4/5/2025
Bitcoin,83004,83004,83004,82914,BTC,4/5/2025 21:00,4/5/2025
Bitcoin,83049,83105,83105,83013,BTC,4/5/2025 21:30,4/5/2025
Bitcoin,83160,82922,83160,82922,BTC,4/5/2025 22:00,4/5/2025
Bitcoin,82910,82992,83100,82910,BTC,4/5/2025 22:30,4/5/2025
Bitcoin,82960,83136,83136,82960,BTC,4/5/2025 23:00,4/5/2025
Ethereum,1819.51,1810.92,1819.51,1810.92,ETH,4/4/2025 23:30,4/4/2025
Ethereum,1809.53,1814.48,1814.48,1809.53,ETH,4/5/2025 0:00,4/5/2025
Ethereum,1814.6,1816.47,1817.09,1811.13,ETH,4/5/2025 0:30,4/5/2025
Ethereum,1816.52,1819.04,1819.04,1813.3,ETH,4/5/2025 1:00,4/5/2025
Ethereum,1822.76,1825.79,1825.79,1822.05,ETH,4/5/2025 1:30,4/5/2025
Ethereum,1826.05,1819.42,1826.05,1819.41,ETH,4/5/2025 2:00,4/5/2025
Ethereum,1819.59,1816.85,1819.59,1815.61,ETH,4/5/2025 2:30,4/5/2025
